[2018-01-30T20:47:16+0100] DFHack 0.44.05-alpha1-0-gce1644d6 on Windows; cwd md5: 27d1c9aa05; save: region1; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2018-01-30T20:47:16+0100] DFHack 0.44.05-alpha1-0-gce1644d6 on Windows; cwd md5: 27d1c9aa05; save: region1; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2018-02-02T13:43:42+0100] DFHack 0.44.05-alpha1-0-gce1644d6 on Windows; cwd md5: 27d1c9aa05; save: region1; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2018-02-02T13:43:42+0100] DFHack 0.44.05-alpha1-0-gce1644d6 on Windows; cwd md5: 27d1c9aa05; save: region1; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2018-02-02T13:43:41+0100] DFHack 0.44.05-alpha1-0-gce1644d6 on Windows; cwd md5: 27d1c9aa05; save: region1; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2018-02-02T13:43:41+0100] DFHack 0.44.05-alpha1-0-gce1644d6 on Windows; cwd md5: 27d1c9aa05; save: region1; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2018-02-02T17:03:52+0100] DFHack 0.44.05-alpha1-0-gce1644d6 on Windows; cwd md5: 27d1c9aa05; save: region1; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2018-02-02T17:03:52+0100] DFHack 0.44.05-alpha1-0-gce1644d6 on Windows; cwd md5: 27d1c9aa05; save: region1; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2018-02-06T13:11:41+0100] DFHack 0.44.05-alpha1-0-gce1644d6 on Windows; cwd md5: 27d1c9aa05; save: region1; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2018-02-06T13:11:41+0100] DFHack 0.44.05-alpha1-0-gce1644d6 on Windows; cwd md5: 27d1c9aa05; save: region1; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2018-02-06T14:03:08+0100] DFHack 0.44.05-alpha1-0-gce1644d6 on Windows; cwd md5: 27d1c9aa05; save: region1; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2018-02-06T14:03:08+0100] DFHack 0.44.05-alpha1-0-gce1644d6 on Windows; cwd md5: 27d1c9aa05; save: region1; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2018-02-08T13:42:42+0100] DFHack 0.44.05-alpha1-0-gce1644d6 on Windows; cwd md5: 27d1c9aa05; save: region1; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2018-02-08T13:42:42+0100] DFHack 0.44.05-alpha1-0-gce1644d6 on Windows; cwd md5: 27d1c9aa05; save: region1; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2018-02-08T15:45:29+0100] DFHack 0.44.05-alpha1-0-gce1644d6 on Windows; cwd md5: 27d1c9aa05; save: region1; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2018-02-08T15:45:29+0100] DFHack 0.44.05-alpha1-0-gce1644d6 on Windows; cwd md5: 27d1c9aa05; save: region1; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2018-02-09T13:09:49+0100] DFHack 0.44.05-alpha1-0-gce1644d6 on Windows; cwd md5: 27d1c9aa05; save: region1; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2018-02-09T13:09:49+0100] DFHack 0.44.05-alpha1-0-gce1644d6 on Windows; cwd md5: 27d1c9aa05; save: region1; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2018-02-09T14:09:27+0100] DFHack 0.44.05-alpha1-0-gce1644d6 on Windows; cwd md5: 27d1c9aa05; save: region1; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2018-02-09T14:09:27+0100] DFHack 0.44.05-alpha1-0-gce1644d6 on Windows; cwd md5: 27d1c9aa05; save: region1; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
